State,CD,Winner,Fresh,Party,Dem,Rep,Other
Mississippi,District 1,"Kelly, Trent",0,R,104008,228787,0
Mississippi,District 2,"Thompson, Bennie",0,D,196224,101010,0
Mississippi,District 3,"Guest, Michael",0,R,120782,221064,0
Mississippi,District 4,"Palazzo, Steven",0,R,0,255971,0
Missouri,District 1,"Bush, Cori",1,D,249087,59940,7144
Missouri,District 2,"Wagner, Ann",0,R,204540,233157,11651
Missouri,District 3,"Luetkemeyer, Blaine",0,R,116095,282866,8387
Missouri,District 4,"Hartzler, Vicky",0,R,107635,245247,9954
Missouri,District 5,"Cleaver, Emanuel II",0,D,207180,135934,9316
Missouri,District 6,"Graves, Samuel B. Jr.",0,R,118926,258709,8144
Missouri,District 7,"Long, Billy",0,R,98111,254318,16854
Missouri,District 8,"Smith, Jason",0,R,70561,253811,5854
Montana,At Large,"Rosendale, Matt",1,R,262340,339169,0
Nebraska,District 1,"Fortenberry, Jeff",0,R,119622,189006,8938
Nebraska,District 2,"Bacon, Don",0,R,155706,171071,10185
Nebraska,District 3,"Smith, Adrian",0,R,50690,225157,10923
Nevada,District 1,"Titus, Dina",0,D,137868,74490,10855
Nevada,District 2,"Amodei, Mark",0,R,155780,216078,10815
Nevada,District 3,"Lee, Susie",0,D,203421,190975,22856
Nevada,District 4,"Horsford, Steven A.",0,D,168457,152284,11728
New Hampshire,District 1,"Pappas, Chris",0,D,205606,185159,9896
New Hampshire,District 2,"Kuster, Ann McLane",0,D,208289,168886,9266
New Jersey,District 1,"Norcross, Donald",0,D,240567,144463,0
New Jersey,District 2,"Van Drew, Jeff",0,R,173849,195526,7172
New Jersey,District 3,"Kim, Andy",0,D,229840,196327,5595
New Jersey,District 4,"Smith, Christopher H.",0,R,162420,254103,7845
New Jersey,District 5,"Gottheimer, Joshua S.",0,D,225175,193333,5128
New Jersey,District 6,"Pallone, Frank Jr.",0,D,199648,126760,0
New Jersey,District 7,"Malinowski, Tom",0,D,219629,214318,0
New Jersey,District 8,"Sires, Albio",0,D,176758,58686,3329
New Jersey,District 9,"Pascrell, William J. Jr.",0,D,203674,98629,7239
New Jersey,District 10,"Payne, Donald M. Jr.",0,D,241522,40298,8189
New Jersey,District 11,"Sherrill, Mikie",0,D,235163,206013,0
New Jersey,District 12,"Coleman, Bonnie Watson",0,D,230883,114591,6251
New Mexico,District 1,"Haaland, Debra",0,D,186953,134337,0
New Mexico,District 2,"Herrell, Yvette",1,R,122546,142283,117
New Mexico,District 3,"Fernandez, Teresa Leger",1,D,186282,131166,0
New York,District 1,"Zeldin, Lee M.",0,R,157484,199763,99
New York,District 2,"Garbarino, Andrew",1,R,154123,177353,3536
New York,District 3,"Suozzi, Thomas R.",0,D,208412,161907,2293
New York,District 4,"Rice, Kathleen M.",0,D,199762,153007,3143
New York,District 5,"Meeks, Gregory W.",0,D,229125,0,1554
New York,District 6,"Meng, Grace",0,D,158862,74829,223
New York,District 7,"Velazquez, Nydia",0,D,191073,32520,1860
New York,District 8,"Jeffries, Hakeem",0,D,234933,42007,229
New York,District 9,"Clarke, Yvette D.",0,D,230221,43950,3077
New York,District 10,"Nadler, Jerrold",0,D,206310,66889,3777
New York,District 11,"Malliotakis, Nicole",1,R,137198,155608,508
New York,District 12,"Maloney, Carolyn B.",0,D,265172,53061,4788
New York,District 13,"Espaillat, Adriano",0,D,231841,19829,3700
New York,District 14,"Ocasio-Cortez, Alexandria",0,D,152661,58440,2222
New York,District 15,"Torres, Ritchie John",1,D,169533,21221,283
New York,District 16,"Bowman, Jamaal",1,D,218471,0,41499
New York,District 17,"Jones, Mondaire",1,D,197353,117307,18192
New York,District 18,"Maloney, Sean",0,D,187169,145098,3278
New York,District 19,"Delgado, Antonio",0,D,192100,151475,9196
New York,District 20,"Tonko, Paul D.",0,D,219705,139446,191
New York,District 21,"Stefanik, Elise",0,R,131992,188649,138
New York,District 22,"Tenney, Claudia",1,R,155989,156098,7551
New York,District 23,"Reed, Thomas W. II",0,R,129014,181060,3768
New York,District 24,"Katko, John M.",0,R,147638,182567,13419
New York,District 25,"Morelle, Joseph  D.",0,D,206396,136198,5504
New York,District 26,"Higgins, Brian M.",0,D,223276,91687,4872
New York,District 27,"Jacobs, Christopher",0,R,149559,229044,5005
North Carolina,District 1,"Butterfield, George K.",0,D,188870,159748,0
North Carolina,District 2,"Ross, Deborah K.",1,D,311887,172544,10914
North Carolina,District 3,"Murphy, Greg",0,R,132752,229800,0
North Carolina,District 4,"Price, David E.",0,D,332421,161298,0
North Carolina,District 5,"Foxx, Virginia Ann",0,R,119846,257843,7555
North Carolina,District 6,"Manning, Kathy",1,D,253531,153598,0
North Carolina,District 7,"Rouzer, David",0,R,179045,272443,720
North Carolina,District 8,"Hudson, Richard",0,R,177781,202774,0
North Carolina,District 9,"Bishop, Dan",0,R,179463,224661,0
North Carolina,District 10,"McHenry, Patrick T.",0,R,128189,284095,0
North Carolina,District 11,"Cawthorn, Madison",1,R,190609,245351,14185
North Carolina,District 12,"Adams, Alma S.",0,D,341457,0,0
North Carolina,District 13,"Budd, Ted",0,R,124684,267181,0
North Dakota,At Large,"Armstrong, Kelly",0,R,97970,245229,12399
Ohio,District 1,"Chabot, Steve",0,R,172022,199560,13703
Ohio,District 2,"Wenstrup, Brad",0,R,146781,230430,37
Ohio,District 3,"Beatty, Joyce",0,D,227420,93569,103
Ohio,District 4,"Jordan, Jim",0,R,101897,235875,9854
Ohio,District 5,"Latta, Bob",0,R,120962,257019,0
Ohio,District 6,"Johnson, Bill",0,R,85661,249130,0
Ohio,District 7,"Gibbs, Bob",0,R,0,236607,113942
Ohio,District 8,"Davidson, Warren",0,R,110766,246277,114
Ohio,District 9,"Kaptur, Marcy",0,D,190328,111385,39
Ohio,District 10,"Turner, Michael R.",0,R,151976,212972,0
Ohio,District 11,"Fudge, Marcia L.",0,D,242098,60323,0
Ohio,District 12,"Balderson, Troy",0,R,182847,241790,13035
Ohio,District 13,"Ryan, Tim",0,D,173631,148648,8522
Ohio,District 14,"Joyce, David",0,R,158586,238864,0
Ohio,District 15,"Stivers, Steve",0,R,140183,243103,75
Ohio,District 16,"Gonzalez, Anthony",0,R,144071,247335,0
Oklahoma,District 1,"Hern, Kevin",0,R,109641,213700,12130
Oklahoma,District 2,"Mullin, Markwayne",0,R,63472,216511,8544
Oklahoma,District 3,"Lucas, Frank D.",0,R,66501,242677,0
Oklahoma,District 4,"Cole, Tom",0,R,90459,213096,10803
Oklahoma,District 5,"Bice, Stephanie",1,R,145658,158191,0
Oregon,District 1,"Bonamici, Suzanne",0,D,297071,161928,900
Oregon,District 2,"Bentz, Cliff",1,R,168881,273835,14717
Oregon,District 3,"Blumenauer, Earl",0,D,343574,110570,16362
Oregon,District 4,"DeFazio, Peter A.",0,D,240950,216081,10674
Oregon,District 5,"Schrader, Kurt",0,D,234863,204372,13411
Pennsylvania,District 1,"Fitzpatrick, Brian K.",0,R,191875,249804,0
Pennsylvania,District 2,"Boyle, Brendan F.",0,D,198140,75022,0
Pennsylvania,District 3,"Evans, Dwight",0,D,341708,33671,0
Pennsylvania,District 4,"Dean, Madeleine",0,D,264637,179926,0
Pennsylvania,District 5,"Scanlon, Mary Gay",0,D,255743,139552,0
Pennsylvania,District 6,"Houlahan, Chrissy",0,D,226440,177526,0
Pennsylvania,District 7,"Wild, Susan",0,D,195475,181407,0
Pennsylvania,District 8,"Cartwright, Matt",0,D,178004,165783,0
Pennsylvania,District 9,"Meuser, Dan",0,R,118266,232988,0
Pennsylvania,District 10,"Perry, Scott",0,R,182938,208896,0
Pennsylvania,District 11,"Smucker, Lloyd K.",0,R,141325,241915,0
Pennsylvania,District 12,"Keller, Fred",0,R,99199,241035,0
Pennsylvania,District 13,"Joyce, John",0,R,96612,267789,0
Pennsylvania,District 14,"Reschenthaler, Guy",0,R,131895,241688,0
Pennsylvania,District 15,"Thompson, Glenn Jr.",0,R,92156,255058,0
Pennsylvania,District 16,"Kelly, Mike",0,R,143962,210088,0
Pennsylvania,District 17,"Lamb, Conor",0,D,222253,212284,0
Pennsylvania,District 18,"Doyle, Mike",0,D,266084,118163,0
Rhode Island,District 1,"Cicilline, David N.",0,D,158550,0,65310
Rhode Island,District 2,"Langevin, James R.",0,D,154086,109894,577
South Carolina,District 1,"Mace, Nancy",1,R,210627,216042,442
South Carolina,District 2,"Wilson, Joe",0,R,155118,202715,6382
South Carolina,District 3,"Duncan, Jeff",0,R,95712,237544,308
South Carolina,District 4,"Timmons, William",0,R,133023,222126,5401
South Carolina,District 5,"Norman, Ralph",0,R,145979,220006,273
South Carolina,District 6,"Clyburn, James E.",0,D,197477,89258,2918
South Carolina,District 7,"Rice, Tom",0,R,138863,224993,235
South Dakota,At Large,"Johnson, Dusty",0,R,0,321984,75748
Tennessee,District 1,"Harshbarger, Diana",1,R,68617,228181,8625
Tennessee,District 2,"Burchett, Tim",0,R,109684,238907,4606
Tennessee,District 3,"Fleischmann, Chuck",0,R,97687,215571,7041
Tennessee,District 4,"DesJarlais, Scott",0,R,111908,223802,0
Tennessee,District 5,"Cooper, Jim",0,D,252155,0,14
Tennessee,District 6,"Rose, John",0,R,83852,257572,8154
Tennessee,District 7,"Green, Mark",0,R,95839,245188,9608
Tennessee,District 8,"Kustoff, David",0,R,97890,227216,6747
Tennessee,District 9,"Cohen, Stephen I.",0,D,187905,48818,6157
Texas,District 1,"Gohmert, Louie",0,R,83016,219726,0
Texas,District 2,"Crenshaw, Daniel",0,R,148374,192828,5524
Texas,District 3,"Taylor, Van",0,R,179458,230512,8621
Texas,District 4,"Fallon, Pat",1,R,76326,253837,7640
Texas,District 5,"Gooden, Lance",0,R,100743,173836,5834
Texas,District 6,"Wright, Ronald",0,R,149530,179507,10955
Texas,District 7,"Fletcher, Lizzie Pannill",0,D,159529,149054,5542
Texas,District 8,"Brady, Kevin",0,R,97409,277327,7735
Texas,District 9,"Green, Al",0,D,172938,49575,6594
Texas,District 10,"McCaul, Michael T.",0,R,187686,217216,8992
Texas,District 11,"Pfluger, August",1,R,53394,232568,5811
Texas,District 12,"Granger, Kay",0,R,121250,233853,11918
Texas,District 13,"Jackson, Ronny",1,R,50477,217124,5907
Texas,District 14,"Weber, Randy",0,R,118574,190541,0
Texas,District 15,"Gonzalez, Vicente",0,D,115605,109017,4295
Texas,District 16,"Escobar, Veronica",0,D,154108,84006,0
Texas,District 17,"Sessions, Pete",1,R,125565,171390,9918
Texas,District 18,"Jackson Lee, Sheila",0,D,180952,58033,7910
Texas,District 19,"Arrington, Jodey",0,R,60583,198198,6271
Texas,District 20,"Castro, Joaquin",0,D,175078,89628,6017
Texas,District 21,"Roy, Chip",0,R,205780,235740,12230
Texas,District 22,"Nehls, Troy",1,R,181998,210259,15791
Texas,District 23,"Gonzales, Ernest Anthony II",1,R,137693,149395,8369
Texas,District 24,"Van Duyne, Elizabeth Ann",1,R,163326,167910,12785
Texas,District 25,"Williams, Roger",0,R,165697,220088,7738
Texas,District 26,"Burgess, Michael C.",0,R,161009,261963,9243
Texas,District 27,"Cloud, Michael",0,R,95466,172305,5482
Texas,District 28,"Cuellar, Henry",0,D,137494,91925,6425
Texas,District 29,"Garcia, Sylvia R.",0,D,111305,42840,2328
Texas,District 30,"Johnson, Eddie Bernice",0,D,204928,48685,10851
Texas,District 31,"Carter, John",0,R,176293,212695,9069
Texas,District 32,"Allred, Colin",0,D,178542,157867,7278
Texas,District 33,"Veasey, Marc",0,D,105317,39638,12651
Texas,District 34,"Vela, Filemon",0,D,111439,84119,5469
Texas,District 35,"Doggett, Lloyd",0,D,176373,80795,12629
Texas,District 36,"Babin, Brian",0,R,73418,222712,6419
Utah,District 1,"Moore, Blake David",1,R,104194,237988,0
Utah,District 2,"Stewart, Chris",0,R,129762,208997,15465
Utah,District 3,"Curtis, John",0,R,96067,246674,15929
Utah,District 4,"Owens, Burgess",1,R,175923,179688,21090
Vermont,At Large,"Welch, Peter",0,D,238827,95830,20180
Virginia,District 1,"Wittman, Robert J.",0,R,186923,260614,641
Virginia,District 2,"Luria, Elaine",0,D,185733,165031,9513
Virginia,District 3,"Scott, Robert C.",0,D,233326,107299,736
Virginia,District 4,"McEachin, A. Donald",0,D,241142,149625,578
Virginia,District 5,"Good, Robert",1,R,190315,210988,1014
Virginia,District 6,"Cline, Benjamin",0,R,134729,246606,478
Virginia,District 7,"Spanberger, Abigail",0,D,230893,222623,823
Virginia,District 8,"Beyer, Donald S. Jr.",0,D,301454,95365,926
Virginia,District 9,"Griffith, H. Morgan",0,R,0,271851,17423
Virginia,District 10,"Wexton, Jennifer",0,D,268734,206253,559
Virginia,District 11,"Connolly, Gerald E.",0,D,280725,111380,1136
Washington,District 1,"DelBene, Suzan",0,D,249944,176407,511
Washington,District 2,"Larsen, Rick",0,D,255252,148384,962
Washington,District 3,"Beutler, Jaime Herrera",0,R,181347,235579,977
Washington,District 4,"Newhouse, Dan M.",0,R,102667,202108,488
Washington,District 5,"Rodgers, Cathy McMorris",0,R,155737,247815,808
Washington,District 6,"Kilmer, Derek",0,D,247429,168783,1004
Washington,District 7,"Jayapal, Pramila",0,D,387109,78240,1113
Washington,District 8,"Schrier, Kim",0,D,213123,198423,566
Washington,District 9,"Smith, Adam",0,D,258771,89697,582
Washington,District 10,"Strickland, Marilyn",1,D,167937,0,172470
West Virginia,District 1,"McKinley, David",0,R,81177,180488,0
West Virginia,District 2,"Mooney, Alex X.",0,R,100799,172195,0
West Virginia,District 3,"Miller, Carol",0,R,64927,161585,0
Wisconsin,District 1,"Steil, Bryan",0,R,163170,238271,313
Wisconsin,District 2,"Pocan, Mark",0,D,318523,138306,376
Wisconsin,District 3,"Kind, Ron",0,D,199870,189524,224
Wisconsin,District 4,"Moore, Gwen",0,D,232668,70769,8260
Wisconsin,District 5,"Fitzgerald, Scott",1,R,175902,265434,263
Wisconsin,District 6,"Grothman, Glenn S.",0,R,164239,238874,220
Wisconsin,District 7,"Tiffany, Tom",0,R,162741,252048,218
Wisconsin,District 8,"Gallagher, Mike",0,R,149558,268173,107
Wyoming,At Large,"Cheney, Elizabeth",0,R,66576,185732,18584
