Year,Name,Population,Total_Revenue,Total_Taxes,Tobacco_Tax,Alcoholic_Beverage_Tax,Motor_Fuels_Tax,Region
2013,ALABAMA,4779736,29092950,9267567,120110,174395,530244,South
2013,ALASKA,710231,14020580,5132811,69175,39194,41608,West
2013,ARIZONA,6392017,36947686,13471690,315428,68684,781426,West
2013,ARKANSAS,2915918,21541707,8586407,237328,50656,455914,South
2013,CALIFORNIA,37253956,316235067,133184246,868703,357000,5492850,West
2013,COLORADO,5029196,31004478,11245662,197026,39217,626619,West
2013,CONNECTICUT,3574097,31852785,16189525,399885,60416,483881,Northeast
2013,DELAWARE,897934,8937707,3346316,115191,18412,112616,South
2013,FLORIDA,18801310,95222070,35377566,1172500,486278,2332191,South
2013,GEORGIA,9687653,53510459,17817617,211618,180786,1000626,South
2013,HAWAII,1360301,12944952,6092893,112104,48962,92516,West
2013,IDAHO,1567582,9391142,3579093,49324,8588,244738,West
2013,ILLINOIS,12830632,84493376,38729322,857110,279928,1259834,NorthCentral
2013,INDIANA,6483802,38141709,16930731,461637,45053,803376,NorthCentral
2013,IOWA,3046355,23123901,8374376,226300,13865,440365,NorthCentral
2013,KANSAS,2853118,18013265,7620282,98985,119462,415352,NorthCentral
2013,KENTUCKY,4339367,28607106,10815954,260358,121753,838344,South
2013,LOUISIANA,4533372,31472244,9223829,123497,56879,583025,South
2013,MAINE,1328361,9571311,3884450,137952,17518,237675,Northeast
2013,MARYLAND,5773552,41802233,18118191,415922,30867,740556,South
2013,MASSACHUSETTS,6547629,55451223,23901047,558297,77357,651375,Northeast
2013,MICHIGAN,9883640,66401159,24936087,958961,138900,956173,NorthCentral
2013,MINNESOTA,5303925,46561172,21991844,392552,80153,860833,NorthCentral
2013,MISSISSIPPI,2967297,21865219,7402725,150277,41787,412966,South
2013,MISSOURI,5988927,37535142,11139394,103734,36119,701078,NorthCentral
2013,MONTANA,989415,8007799,2644610,87935,31743,216155,West
2013,NEBRASKA,1826341,11484492,4718944,66049,28936,297483,NorthCentral
2013,NEVADA,2700551,17040569,7026626,104766,40903,297387,West
2013,NEW HAMPSHIRE,1316470,8163715,2349693,209555,9682,143132,Northeast
2013,NEW JERSEY,8791894,67982088,29076881,753562,136066,524557,Northeast
2013,NEW MEXICO,2059179,17808300,5201576,71420,40980,235375,West
2013,NEW YORK,19378102,188460985,73667171,1543018,247303,1634932,Northeast
2013,NORTH CAROLINA,9535483,60004493,23768578,281097,332656,1893576,South
2013,NORTH DAKOTA,672591,8848268,5298770,28743,9154,211700,NorthCentral
2013,OHIO,11536504,90385483,27516947,828703,98279,1704594,NorthCentral
2013,OKLAHOMA,3751351,26344587,8892503,283902,111001,434719,South
2013,OREGON,3831074,32914634,9160887,269344,16294,498778,West
2013,PENNSYLVANIA,12702379,87910876,33965626,1074092,336400,2046738,Northeast
2013,RHODE ISLAND,1052567,8681540,2940433,131974,12717,94191,Northeast
2013,SOUTH CAROLINA,4625364,29638637,8721305,27677,156759,520501,South
2013,SOUTH DAKOTA,814180,5759268,1533663,60969,16027,142364,NorthCentral
2013,TENNESSEE,6346105,31718284,11728827,274471,140068,834999,South
2013,TEXAS,25145561,136985717,51714295,1534004,984423,3228437,South
2013,UTAH,2763885,18442304,6325126,120472,48228,373242,West
2013,VERMONT,625741,6295755,2878930,74270,23159,106840,Northeast
2013,VIRGINIA,8001024,50851769,19186853,187943,204049,910038,South
2013,WASHINGTON,6724540,47862480,18667044,465148,364795,1194910,West
2013,WEST VIRGINIA,1852994,14593283,5389952,107022,17690,408914,South
2013,WISCONSIN,5686986,45891806,16513692,632174,57290,968338,NorthCentral
2013,WYOMING,563626,7625516,2186054,26505,1802,70986,West
2012,ALABAMA,4779736,28970138,9049294,126151,173251,541499,South
2012,ALASKA,710231,15050413,7049398,67382,40230,40980,West
2012,ARIZONA,6392017,32134279,12996421,319467,68379,896983,West
2012,ARKANSAS,2915918,18434343,8287744,246976,48803,467055,South
2012,CALIFORNIA,37253956,250971433,115178568,895677,346000,5544530,West
2012,COLORADO,5029196,25687893,10262977,203399,38817,630573,West
2012,CONNECTICUT,3574097,27327938,15421035,418231,60595,476998,Northeast
2012,DELAWARE,897934,8015377,3346952,120850,17654,112908,South
2012,FLORIDA,18801310,82386120,32997012,381485,527016,2273685,South
2012,GEORGIA,9687653,40644118,16715216,227146,175051,1019300,South
2012,HAWAII,1360301,10600634,5516146,121971,48854,93349,West
2012,IDAHO,1567582,8308086,3374304,48461,8099,236769,West
2012,ILLINOIS,12830632,68901523,36257762,606422,279270,1290266,NorthCentral
2012,INDIANA,6483802,35909735,16329595,465200,44155,814818,NorthCentral
2012,IOWA,3046355,21079797,7932494,225499,14727,440161,NorthCentral
2012,KANSAS,2853118,16144318,7418341,103639,118202,435049,NorthCentral
2012,KENTUCKY,4339367,25683865,10505794,276544,118253,790229,South
2012,LOUISIANA,4533372,26931263,8994053,133194,56869,575063,South
2012,MAINE,1328361,8418007,3777130,139729,17352,242124,Northeast
2012,MARYLAND,5773552,36104189,17094560,411427,31010,733410,South
2012,MASSACHUSETTS,6547629,49001047,22820892,573759,77861,661974,Northeast
2012,MICHIGAN,9883640,63986268,23919741,964748,149629,951176,NorthCentral
2012,MINNESOTA,5303925,38553800,20560540,421545,79389,849218,NorthCentral
2012,MISSISSIPPI,2967297,18765201,6953362,157433,42183,417048,South
2012,MISSOURI,5988927,31065599,10802052,104918,34341,708997,NorthCentral
2012,MONTANA,989415,7653071,2459324,87148,34019,211992,West
2012,NEBRASKA,1826341,9815109,4366617,67585,28472,299764,NorthCentral
2012,NEVADA,2700551,14317867,6775112,102644,41695,291400,West
2012,NEW HAMPSHIRE,1316470,7153139,2208201,215161,9723,143794,Northeast
2012,NEW JERSEY,8791894,57582037,27456175,792066,135304,539714,Northeast
2012,NEW MEXICO,2059179,15195673,5093142,74987,41004,236015,West
2012,NEW YORK,19378102,179604728,71545745,1631995,238932,1604727,Northeast
2012,NORTH CAROLINA,9535483,56470410,22713357,294754,322970,1861838,South
2012,NORTH DAKOTA,672591,9246488,5620036,28240,8463,204573,NorthCentral
2012,OHIO,11536504,72470829,25929094,843180,98113,1684209,NorthCentral
2012,OKLAHOMA,3751351,23263425,8839299,292973,103831,444636,South
2012,OREGON,3831074,25059234,8699626,255652,17322,533420,West
2012,PENNSYLVANIA,12702379,78467061,32949917,1118961,324024,2073677,Northeast
2012,RHODE ISLAND,1052567,7946561,2827503,131066,12840,117983,Northeast
2012,SOUTH CAROLINA,4625364,26106015,8036482,26247,153951,531615,South
2012,SOUTH DAKOTA,814180,4351161,1521477,60372,15449,136431,NorthCentral
2012,TENNESSEE,6346105,30803108,11982345,279017,133055,837787,South
2012,TEXAS,25145561,130719986,48596548,1469712,937614,3178419,South
2012,UTAH,2763885,15600624,5809953,123988,45823,372212,West
2012,VERMONT,625741,6348888,2757370,80230,22403,108177,Northeast
2012,VIRGINIA,8001024,43137517,18144897,192441,198107,866243,South
2012,WASHINGTON,6724540,40665155,17624715,470765,349164,1177987,West
2012,WEST VIRGINIA,1852994,13247295,5285773,109618,17204,387040,South
2012,WISCONSIN,5686986,35880592,15995335,653275,56278,985001,NorthCentral
2012,WYOMING,563626,6845489,2550991,25984,1742,66443,West